item_id,store_id,category,season,price,discount,days_on_rack,sold_quantity,sold_flag
Item_0,Store_7,Kurta,Winter,9061,0.18,90,5,1
Item_1,Store_20,Saree,Summer,9609,0.03,18,5,1
Item_2,Store_15,Saree,Wedding,3603,0.34,67,6,1
Item_3,Store_11,Sherwani,Winter,2101,0.22,85,7,1
Item_4,Store_8,Saree,Summer,5421,0.1,89,7,1
Item_5,Store_7,Kurta,Wedding,8857,0.41,55,5,1
Item_6,Store_19,Kurta,Wedding,9177,0.4,116,6,1
Item_7,Store_11,Kurta,Festive,7082,0.24,83,4,0
Item_8,Store_11,Kurta,Summer,7658,0.15,62,5,1
Item_9,Store_4,Kurta,Winter,3261,0.32,19,3,0
Item_10,Store_8,Sherwani,Winter,9021,0.14,69,5,1
Item_11,Store_3,Kurta,Winter,1508,0.12,92,10,1
Item_12,Store_2,Sherwani,Summer,3379,0.37,59,4,0
Item_13,Store_12,Kurta,Winter,9879,0.02,80,8,1
Item_14,Store_6,Lehenga,Winter,5752,0.05,14,6,1
Item_15,Store_2,Lehenga,Winter,6495,0.0,114,4,0
Item_16,Store_1,Lehenga,Festive,4209,0.08,110,5,1
Item_17,Store_12,Lehenga,Festive,8398,0.03,46,4,0
Item_18,Store_12,Sherwani,Summer,7743,0.5,99,6,1
Item_19,Store_17,Sherwani,Summer,6648,0.14,15,2,0
Item_20,Store_10,Saree,Winter,6171,0.07,20,2,0
Item_21,Store_16,Kurta,Festive,8890,0.12,77,9,1
Item_22,Store_15,Lehenga,Wedding,1324,0.47,115,1,0
Item_23,Store_15,Sherwani,Wedding,4557,0.26,82,3,0
Item_24,Store_19,Kurta,Winter,4587,0.18,23,4,0
Item_25,Store_12,Kurta,Winter,1151,0.44,35,3,0
Item_26,Store_20,Sherwani,Festive,1954,0.2,77,2,0
Item_27,Store_3,Lehenga,Festive,5354,0.17,104,6,1
Item_28,Store_5,Saree,Festive,8160,0.1,57,2,0
Item_29,Store_19,Kurta,Summer,1687,0.19,107,7,1
Item_30,Store_7,Saree,Summer,9501,0.16,94,10,1
Item_31,Store_9,Lehenga,Winter,4127,0.34,12,1,0
Item_32,Store_7,Lehenga,Summer,7763,0.14,28,2,0
Item_33,Store_18,Saree,Festive,4395,0.29,12,4,0
Item_34,Store_4,Lehenga,Festive,1845,0.03,87,4,0
Item_35,Store_14,Kurta,Summer,2164,0.1,115,8,1
Item_36,Store_18,Saree,Wedding,6904,0.2,52,6,1
Item_37,Store_9,Lehenga,Winter,6360,0.47,34,2,0
Item_38,Store_2,Saree,Wedding,1354,0.19,62,6,1
Item_39,Store_20,Kurta,Winter,2872,0.33,90,8,1
Item_40,Store_15,Lehenga,Wedding,3024,0.13,59,8,1
Item_41,Store_7,Kurta,Summer,3817,0.06,77,2,0
Item_42,Store_12,Lehenga,Winter,4832,0.03,66,5,1
Item_43,Store_8,Sherwani,Winter,9257,0.15,112,4,0
Item_44,Store_15,Lehenga,Winter,3581,0.08,52,3,0
Item_45,Store_3,Saree,Festive,3486,0.09,8,8,1
Item_46,Store_14,Lehenga,Festive,9418,0.38,41,3,0
Item_47,Store_17,Kurta,Wedding,3443,0.01,12,7,1
Item_48,Store_4,Kurta,Summer,9919,0.28,5,2,0
Item_49,Store_18,Lehenga,Festive,2036,0.19,96,1,0
Item_50,Store_8,Saree,Winter,9684,0.25,74,5,1
Item_51,Store_4,Sherwani,Festive,8435,0.28,51,4,0
Item_52,Store_2,Saree,Summer,2548,0.16,104,4,0
Item_53,Store_6,Sherwani,Festive,6065,0.15,79,4,0
Item_54,Store_10,Kurta,Winter,7496,0.37,9,3,0
